config_id,config_label,domain,method,seeds,episodes,cumulative_regret_mean,cumulative_regret_sem,late_instant_regret_mean,late_instant_regret_sem,posterior_true_mass_mean,posterior_true_mass_sem,n_agents,factored_storage,joint_storage
pub/london,Pub: london,pub,econ_bne,1,20,0.0,0.0,0.0,0.0,0.00390625,0.0,4,16,256
pub/london,Pub: london,pub,joint_psrl_uniform,1,20,0.0,0.0,0.0,0.0,0.07756046249717015,0.0,4,16,256
pub/london,Pub: london,pub,map_type_greedy,1,20,0.0,0.0,0.0,0.0,0.5800375405964127,0.0,4,16,256
pub/london,Pub: london,pub,pact,1,20,0.0,0.0,0.0,0.0,0.5800375405964127,0.0,4,16,256
pub/london,Pub: london,pub,pact_plus,1,20,0.0,0.0,0.0,0.0,0.5800375405964127,0.0,4,16,256
pub/london,Pub: london,pub,psrl_notype,1,20,0.0,0.0,0.0,0.0,0.00390625,0.0,4,16,256
pub/london,Pub: london,pub,random,1,20,34.33856011253329,0.0,1.9592404413391122,0.0,0.00390625,0.0,4,16,256
pub/london_mini,Pub: london_mini,pub,atom_tom1,1,20,0.0,0.0,0.0,0.0,0.0625,0.0,2,8,16
pub/london_mini,Pub: london_mini,pub,econ_bne,1,20,0.0,0.0,0.0,0.0,0.0625,0.0,2,8,16
pub/london_mini,Pub: london_mini,pub,joint_psrl_uniform,1,20,0.0,0.0,0.0,0.0,0.1448267576267961,0.0,2,8,16
pub/london_mini,Pub: london_mini,pub,map_type_greedy,1,20,0.0,0.0,0.0,0.0,0.39013282712121133,0.0,2,8,16
pub/london_mini,Pub: london_mini,pub,pact,1,20,0.0,0.0,0.0,0.0,0.39013282712121133,0.0,2,8,16
pub/london_mini,Pub: london_mini,pub,pact_plus,1,20,0.0,0.0,0.0,0.0,0.39013282712121133,0.0,2,8,16
pub/london_mini,Pub: london_mini,pub,psrl_notype,1,20,0.0,0.0,0.0,0.0,0.0625,0.0,2,8,16
pub/london_mini,Pub: london_mini,pub,random,1,20,22.618518518518517,0.0,1.19,0.0,0.0625,0.0,2,8,16
