model,method,episodes,final_mean_cumulative_reward,final_mean_cumulative_regret,final_mean_cumulative_exploration_cost,final_mean_true_tuple_posterior,final_mean_rule_marginal_accuracy,live_score_parse_ok_rate,mean_llm_assignment_score,mean_structured_assignment_score
Kimi-K2.6,live_map_greedy,1,0.8743333333333334,1.2974447482488802,0.5445700217333598,0.09775673258714494,0.5877203409705537,1.0,0.0,1.6388982098660159
Kimi-K2.6,live_pact,1,1.7058166666666665,0.4242823139580125,0.22236195131429137,0.10640911597448975,0.5977213239115168,1.0,0.5,2.4317855179088648
Kimi-K2.6,live_pact_plus,1,1.7058166666666665,0.4242823139580125,0.22236195131429137,0.10640911597448975,0.5977213239115168,1.0,0.3333333333333333,2.4317855179088648
Kimi-K2.6,live_psrl_notype,1,0.8743333333333334,1.2974447482488802,0.5445700217333598,0.0625,0.5,1.0,0.3333333333333333,1.6388982098660159
Llama-4-Maverick-17B-128E-Instruct-FP8,live_atom_adaptive_hedge,1,1.7498166666666668,0.37003243348181947,0.32039212762357794,0.0625,0.5,1.0,1.3,0.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_atom_tom0,1,0.7679499999999999,0.41858976162355965,0.7527283589746836,0.0625,0.5,1.0,1.2666666666666666,0.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_atom_tom1,1,1.7648000000000001,0.3591107422834785,0.5581819418351444,0.0625,0.5,1.0,0.0,0.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_econ_bne,1,1.7498166666666668,0.37003243348181947,0.32039212762357794,0.0625,0.5,1.0,1.7333333333333332,0.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_joint_psrl,1,1.67565,0.4837789479868595,0.5035388019416036,0.12699073946773456,0.6206090577831527,1.0,0.3333333333333333,2.0198393869164066
Llama-4-Maverick-17B-128E-Instruct-FP8,live_llm_belief,1,1.7498166666666668,0.37003243348181947,0.32039212762357794,0.0625,0.5,1.0,1.3,0.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_llm_greedy,1,1.3032833333333333,0.8408821072277968,0.8041956307174196,0.0625,0.5,1.0,1.3333333333333333,0.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_map_greedy,1,1.7498166666666668,0.37003243348181947,0.32039212762357794,0.10968418444761702,0.6033925487068236,1.0,0.7999999999999999,1.6388982098660159
Llama-4-Maverick-17B-128E-Instruct-FP8,live_pact,1,1.7058166666666665,0.4242823139580125,0.22236195131429137,0.10640911597448975,0.5977213239115168,1.0,1.2,2.4317855179088648
Llama-4-Maverick-17B-128E-Instruct-FP8,live_pact_plus,1,1.7058166666666665,0.4242823139580125,0.22236195131429137,0.10640911597448975,0.5977213239115168,1.0,1.2,2.4317855179088648
Llama-4-Maverick-17B-128E-Instruct-FP8,live_psrl_notype,1,0.8743333333333334,1.2974447482488802,0.5445700217333598,0.0625,0.5,1.0,-1.323,1.6388982098660159
gpt-5.4-mini-20260317,live_atom_adaptive_hedge,1,0.7679499999999999,0.8064752167056415,0.9874339841575299,0.0625,0.5,1.0,0.7666666666666666,0.0
gpt-5.4-mini-20260317,live_atom_tom0,1,0.7679499999999999,0.8064752167056415,0.9874339841575299,0.0625,0.5,1.0,0.8000000000000002,0.0
gpt-5.4-mini-20260317,live_atom_tom1,1,1.33345,0.7904302289076954,0.30037900175767174,0.0625,0.5,1.0,0.6,0.0
gpt-5.4-mini-20260317,live_econ_bne,1,1.3069333333333335,0.836803911356518,0.7785305099302466,0.0625,0.5,1.0,0.7666666666666666,0.0
gpt-5.4-mini-20260317,live_joint_psrl,1,1.1884833333333333,0.39586239932894474,0.7731102892708281,0.1050445358549766,0.5933822444801102,1.0,0.5666666666666668,2.0247363424066447
gpt-5.4-mini-20260317,live_llm_belief,1,1.7498166666666668,0.37003243348181947,0.32039212762357794,0.0625,0.5,1.0,0.6333333333333333,0.0
gpt-5.4-mini-20260317,live_llm_greedy,1,1.24305,0.9303322998248442,0.5013414998790904,0.0625,0.5,1.0,0.7333333333333334,0.0
gpt-5.4-mini-20260317,live_map_greedy,1,0.8743333333333334,1.2974447482488802,0.5445700217333598,0.09775673258714494,0.5877203409705537,1.0,0.4666666666666666,1.6388982098660159
gpt-5.4-mini-20260317,live_pact,1,1.7058166666666665,0.4242823139580125,0.22236195131429137,0.10640911597448975,0.5977213239115168,1.0,0.5,2.4317855179088648
gpt-5.4-mini-20260317,live_pact_plus,1,1.7058166666666665,0.4242823139580125,0.22236195131429137,0.10640911597448975,0.5977213239115168,1.0,0.2333333333333333,2.4317855179088648
gpt-5.4-mini-20260317,live_psrl_notype,1,0.8743333333333334,1.2974447482488802,0.5445700217333598,0.0625,0.5,1.0,0.39999999999999997,1.6388982098660159
